,GenLabel,MajLabel,Marginals,True,Gen,Maj,-1.0,0.0,1.0,nnz
141,1,-1,0.5354962629237446,-1,False,True,1.0,8.0,1.0,0.3
230,-1,1,0.2488479058082208,1,False,True,1.0,7.0,2.0,0.3
713,1,-1,0.5354962629237446,-1,False,True,1.0,8.0,1.0,0.3
1021,1,-1,0.5354962629237446,-1,False,True,1.0,8.0,1.0,0.3
1377,-1,1,0.22399515359023506,1,False,True,,9.0,1.0,0.2
1839,1,-1,0.56023694996862,-1,False,True,1.0,8.0,1.0,0.3
1840,1,-1,0.56023694996862,-1,False,True,1.0,8.0,1.0,0.3
2464,1,-1,0.5159934934468557,-1,False,True,1.0,8.0,1.0,0.3
2468,1,-1,0.5195919503910539,-1,False,True,1.0,8.0,1.0,0.3
2470,1,-1,0.5195919503910539,-1,False,True,1.0,8.0,1.0,0.3
2568,1,-1,0.5195919503910539,-1,False,True,1.0,8.0,1.0,0.3
2645,1,-1,0.5354962629237446,-1,False,True,1.0,8.0,1.0,0.3
2745,1,-1,0.5354962629237446,-1,False,True,1.0,8.0,1.0,0.3
